subject_id,placement,activity,start_time_s,end_time_s
2,wrist,sit,7.0,8.98
2,wrist,walk,0.0,1.98
2,wrist,walk,1.0,2.98
2,wrist,walk,2.0,3.98
2,wrist,walk,3.0,4.98
2,wrist,walk,4.0,5.98
2,wrist,walk,5.0,6.98
2,wrist,walk,6.0,7.98
2,wrist,walk,7.0,8.98
2,wrist,run,0.0,1.98
2,wrist,run,1.0,2.98
2,wrist,run,2.0,3.98
2,wrist,run,3.0,4.98
2,wrist,run,4.0,5.98
2,wrist,run,5.0,6.98
2,wrist,run,6.0,7.98
2,wrist,run,7.0,8.98
2,wrist,stairs_up,0.0,1.98
2,wrist,stairs_up,1.0,2.98
2,wrist,stairs_up,2.0,3.98
2,wrist,stairs_up,3.0,4.98
2,wrist,stairs_up,4.0,5.98
2,wrist,stairs_up,5.0,6.98
2,wrist,stairs_up,6.0,7.98
2,wrist,stairs_up,7.0,8.98
2,wrist,stairs_down,0.0,1.98
2,wrist,stairs_down,1.0,2.98
2,wrist,stairs_down,2.0,3.98
2,wrist,stairs_down,3.0,4.98
2,wrist,stairs_down,4.0,5.98
2,wrist,stairs_down,5.0,6.98
2,wrist,stairs_down,6.0,7.98
2,wrist,stairs_down,7.0,8.98
2,wrist,fall,0.0,1.98
2,wrist,fall,1.0,2.98
2,wrist,fall,2.0,3.98
2,wrist,fall,3.0,4.98
2,wrist,fall,4.0,5.98
2,wrist,fall,5.0,6.98
2,wrist,fall,6.0,7.98
2,wrist,fall,7.0,8.98
2,pocket,stand,0.0,1.98
2,pocket,stand,1.0,2.98
2,pocket,stand,2.0,3.98
2,pocket,stand,3.0,4.98
2,pocket,stand,4.0,5.98
2,pocket,stand,5.0,6.98
2,pocket,stand,6.0,7.98
2,pocket,stand,7.0,8.98
2,pocket,sit,0.0,1.98
2,pocket,sit,1.0,2.98
2,pocket,sit,2.0,3.98
2,pocket,sit,3.0,4.98
2,pocket,sit,4.0,5.98
2,pocket,sit,5.0,6.98
2,pocket,sit,6.0,7.98
2,pocket,sit,7.0,8.98
2,pocket,walk,0.0,1.98
2,pocket,walk,1.0,2.98
2,pocket,walk,2.0,3.98
2,pocket,walk,3.0,4.98
2,pocket,walk,4.0,5.98
2,pocket,walk,5.0,6.98
2,pocket,walk,6.0,7.98
2,pocket,walk,7.0,8.98
2,pocket,run,0.0,1.98
2,pocket,run,1.0,2.98
2,pocket,run,2.0,3.98
2,pocket,run,3.0,4.98
2,pocket,run,4.0,5.98
2,pocket,run,5.0,6.98
2,pocket,run,6.0,7.98
2,pocket,run,7.0,8.98
2,pocket,stairs_up,0.0,1.98
2,pocket,stairs_up,1.0,2.98
2,pocket,stairs_up,2.0,3.98
2,pocket,stairs_up,3.0,4.98
2,pocket,stairs_up,4.0,5.98
2,pocket,stairs_up,5.0,6.98
2,pocket,stairs_up,6.0,7.98
2,pocket,stairs_up,7.0,8.98
2,pocket,stairs_down,0.0,1.98
2,pocket,stairs_down,1.0,2.98
2,pocket,stairs_down,2.0,3.98
2,pocket,stairs_down,3.0,4.98
2,pocket,stairs_down,4.0,5.98
2,pocket,stairs_down,5.0,6.98
2,pocket,stairs_down,6.0,7.98
2,pocket,stairs_down,7.0,8.98
2,pocket,fall,0.0,1.98
2,pocket,fall,1.0,2.98
2,pocket,fall,2.0,3.98
2,pocket,fall,3.0,4.98
2,pocket,fall,4.0,5.98
2,pocket,fall,5.0,6.98
2,pocket,fall,6.0,7.98
2,pocket,fall,7.0,8.98
